Date,Open,High,Low,Close,Adj Close,Volume
1963-02-27,5.184831,5.215105,5.162524,5.165711,1.115776,462855
1963-02-28,5.165711,5.168897,5.086042,5.095602,1.100633,1176750
1963-03-01,5.095602,5.143403,5.063735,5.063735,1.093750,1074765
1963-03-04,5.098789,5.156150,5.098789,5.143403,1.110957,784500
1963-03-05,5.143403,5.143403,5.117909,5.121096,1.106140,478545
1963-03-06,5.121096,5.160931,5.101976,5.160931,1.114743,439320
1963-03-07,5.181644,5.223072,5.181644,5.210325,1.125413,753120
1963-03-08,5.210325,5.223072,5.188018,5.207138,1.124723,415785
1963-03-11,5.207138,5.235819,5.200765,5.203952,1.124035,509925
1963-03-12,5.203952,5.223072,5.191205,5.200765,1.123347,368715
1963-03-13,5.200765,5.229446,5.200765,5.210325,1.125413,478545
1963-03-14,5.210325,5.270873,5.194391,5.226259,1.128854,619755
1963-03-15,5.226259,5.274060,5.207138,5.267686,1.137802,533460
1963-03-18,5.267686,5.296367,5.216699,5.219885,1.127476,486390
1963-03-19,5.219885,5.239006,5.207138,5.226259,1.128854,431475
1963-03-20,5.232632,5.293180,5.232632,5.277247,1.139867,517770
1963-03-21,5.277247,5.289994,5.239006,5.242192,1.132295,831570
1963-03-22,5.242192,5.286807,5.239006,5.280433,1.140557,447165
1963-03-25,5.280433,5.296367,5.270873,5.270873,1.138491,502080
1963-03-26,5.277247,5.328235,5.277247,5.305927,1.146063,847260
1963-03-27,5.325048,5.366475,5.325048,5.366475,1.159140,886485
1963-03-28,5.366475,5.395156,5.353728,5.363289,1.158452,862950
1963-03-29,5.363289,5.382409,5.353728,5.366475,1.159140,502080
1963-04-01,5.366475,5.376036,5.356915,5.366475,1.159140,713895
1963-04-02,5.366475,5.382409,5.321861,5.321861,1.149503,588375
1963-04-03,5.328235,5.388783,5.328235,5.382409,1.162583,541305
1963-04-04,5.417463,5.479605,5.417463,5.466858,1.180822,1357185
1963-04-05,5.478011,5.634162,5.478011,5.634162,1.216960,1670985
1963-04-08,5.669216,5.745698,5.669216,5.731358,1.237954,1663140
1963-04-09,5.731358,5.742511,5.646909,5.669216,1.224532,1294425
1963-04-10,5.669216,5.681963,5.570427,5.638942,1.217993,972780
1963-04-11,5.638942,5.729764,5.611855,5.688337,1.228661,1341495
1963-04-15,5.688337,5.723391,5.646909,5.685150,1.227973,870795
1963-04-16,5.685150,5.701083,5.643722,5.643722,1.219024,682515
1963-04-17,5.643722,5.656469,5.602294,5.615041,1.212830,502080
1963-04-18,5.615041,5.659656,5.615041,5.615041,1.212830,305955
1963-04-19,5.646909,5.736138,5.646909,5.736138,1.238986,800190
1963-04-22,5.774379,5.854047,5.774379,5.825366,1.258259,1184595
1963-04-23,5.825366,5.876354,5.806246,5.876354,1.269271,878640
1963-04-24,5.885915,5.946463,5.885915,5.895475,1.273403,894330
1963-04-25,5.895475,5.927342,5.863607,5.922562,1.279252,729585
1963-04-26,5.922562,5.991077,5.895475,5.991077,1.294052,666825
1963-04-29,5.991077,6.048438,5.946463,5.971957,1.289922,549150
1963-04-30,5.971957,6.003824,5.889101,5.911409,1.276845,910020
1963-05-01,5.911409,5.971957,5.892288,5.927342,1.280285,627600
1963-05-02,5.930529,5.981517,5.930529,5.975143,1.290611,384405
1963-05-03,5.975143,5.976737,5.933716,5.933716,1.281663,321645
1963-05-06,5.924156,5.924156,5.841300,5.841300,1.261700,619755
1963-05-07,5.841300,5.892288,5.831740,5.867192,1.267570,564840
1963-05-08,5.879541,5.991077,5.879541,5.991077,1.294335,776655
1963-05-09,5.991077,6.061185,5.991077,5.997451,1.295712,1176750
1963-05-10,5.997451,6.054812,5.962396,6.054812,1.308105,494235
1963-05-13,6.051625,6.051625,5.994264,6.007011,1.297778,400095
1963-05-14,6.007011,6.022945,5.978330,5.997451,1.295712,470700
1963-05-15,5.997451,6.032505,5.997451,6.016571,1.299843,549150
1963-05-16,6.016571,6.042065,5.978330,5.991077,1.294335,470700
1963-05-17,5.991077,6.048438,5.943276,5.952836,1.286073,478545
1963-05-20,5.952836,5.971957,5.898662,5.898662,1.274368,455010
1963-05-21,5.898662,5.952836,5.889101,5.952836,1.286073,541305
1963-05-22,5.952836,6.042065,5.933716,5.940089,1.283319,353025
1963-05-23,5.940089,5.965583,5.920969,5.920969,1.279188,345180
1963-05-24,5.920969,5.956023,5.889101,5.901848,1.275057,305955
1963-05-27,5.895475,5.895475,5.838113,5.838113,1.261288,478545
1963-05-28,5.860421,5.911409,5.860421,5.863607,1.266796,470700
1963-05-29,5.901848,5.991077,5.901848,5.991077,1.294335,580530
1963-05-31,6.016571,6.099426,6.016571,6.083493,1.314300,1121835
1963-06-03,6.083493,6.102613,6.032505,6.032505,1.303285,886485
1963-06-04,6.032505,6.083493,6.016571,6.042065,1.305351,611910
1963-06-05,6.042065,6.067559,5.984704,5.991077,1.294335,517770
1963-06-06,5.991077,6.016571,5.965583,5.991077,1.294335,305955
1963-06-07,5.991077,5.997451,5.962396,5.968770,1.289516,376560
1963-06-10,5.968770,5.968770,5.889101,5.892288,1.272992,690360
1963-06-11,5.901848,5.962396,5.901848,5.927342,1.280564,290265
1963-06-12,5.927342,5.984704,5.901848,5.968770,1.289516,580530
1963-06-13,5.968770,6.042065,5.889101,5.908222,1.276435,470700
1963-06-14,5.908222,5.936902,5.889101,5.905035,1.275746,353025
1963-06-17,5.905035,5.908222,5.844487,5.854047,1.264730,447165
1963-06-18,5.854047,5.908222,5.844487,5.844487,1.262664,556995
1963-06-19,5.844487,5.860421,5.818993,5.825366,1.258534,682515
